Title,Subject,Date,Weekday,Total_Recipients,SucDeliveries,Bounces,Open_Rate,Total_Opens,Unique_Clicks,Click_Rate,Total_Clicks,Unsubscribes
Clos de Tart Offer #1,Special Offer from Clos de Tart,2012-01-13 12:45,Friday,132,131,1,64.12%,336,23,17.56%,60,0
Louis Michel Update,Louis Michel Vintage Update,2012-07-20 14:13,Friday,284,284,0,42.96%,245,15,5.28%,24,1
Vieille Julienne 2011 Offer,Vieille Julienne Special Offer,2011-11-25 9:00,Friday,110,110,0,63.64%,188,9,8.18%,16,0
Massolino Radio announcement,Massolino LIVE!,2012-11-09 9:25,Friday,496,495,1,42.22%,340,13,2.63%,14,0
Clos de Tart 2010 Offer FINAL to Wait List,Clos de Tart Patron's 2010 Offer,2012-06-01 10:15,Friday,145,145,0,42.76%,182,7,4.83%,9,0
La Massa Giorgio Primo 2010 Reminder,La Massa Offer Deadline is Today,2012-11-02 10:30,Friday,371,371,0,37.20%,208,7,1.89%,8,0
Girardin First Offer Deadline,Vincent Girardin Offer -- Deadline Today,2012-09-28 10:00,Friday,197,197,0,52.79%,187,7,3.55%,8,1
Roberto Voerzio Launch Email,"Roberto Voerzio, Barolo Icon, Launches List on VinConnect",2012-02-17 10:00,Friday,333,332,1,38.55%,219,6,1.81%,7,1
Pelissero 2009 Offer Reminder,,2012-07-13 11:00,Friday,169,168,1,41.07%,102,4,2.38%,5,1
Domaine de la Vieille Julienne Welcome Email,Domaine de la Vieille Julienne Mailing List,2011-09-30 23:04,Friday,56,56,0,55.36%,56,4,7.14%,5,0
Clos de Tart 96/99/01 Offer to Wait List,Clos de Tart Special Library Offer,2012-10-12 10:00,Friday,286,285,1,52.63%,458,3,1.05%,3,0
Ogier Launch Email,,2012-02-10 13:17,Friday,310,310,0,43.23%,228,3,0.97%,3,0
Clos de Tart 96/99/01 Offer Deadine to All,Clos de Tart Offer Deadline is Tomorrow,2012-10-19 10:00,Friday,565,565,0,39.82%,456,1,0.18%,1,0
Ciacci Piccolomini Offer #1 Reminder,Ciacci Piccolomini Brunello Offer Reminder,2012-06-15 8:28,Friday,66,66,0,46.97%,51,1,1.52%,1,0
Louis Michel Welcome to List,Domaine Louis Michel Mailing List:  Welcome to Chablis!,2011-11-04 10:42,Friday,30,30,0,63.33%,27,1,3.33%,1,0
Louis Michel 2011 Premier Cru,Louis Michel 2011 Premier Cru Offer,2012-11-16 11:44,Friday,477,476,1,42.65%,410,0,0.00%,0,0
Castello del Terriccio First Offer Reminder,Castello del Terriccio Offer Deadline Today,2012-10-05 10:00,Friday,205,205,0,46.34%,181,0,0.00%,0,0
Pegau first offer deadline,Pegau offer deadline is today,2012-08-10 9:30,Friday,235,235,0,45.53%,230,0,0.00%,0,0
Ogier Welcome to List -- Autoresponse revised,Ogier welcomes you to our Mailing List -- Revised,2012-06-15 22:56,Friday,14,14,0,42.86%,14,0,0.00%,0,0
Le Macchiole Paleo Rosso Announcement,Le Macchiole Announces 20th Anniversary of Paleo Rosso,2012-06-15 10:08,Friday,234,233,1,45.92%,166,0,0.00%,0,0
Roberto Voerzio Offer Reminder,Roberto Voerzio Barolo Offer Reminder,2012-05-25 11:58,Friday,134,134,0,43.28%,178,0,0.00%,0,1
Ogier First Offer,M&S Ogier Wine Offer,2012-03-16 11:20,Friday,109,109,0,57.80%,161,0,0.00%,0,0
Gourt de Mautens Launch Email,,2012-01-20 11:25,Friday,272,270,2,38.52%,168,0,0.00%,0,0
Vieille Julienne Order Reminder,REMINDER:  Vieille Julienne order deadline is Monday!,2011-12-02 6:00,Friday,108,108,0,43.52%,110,0,0.00%,0,0
La Massa Giorgio Primo 2010,La Massa Giorgio Primo 2010 Offer,2012-10-22 10:00,Monday,373,373,0,42.09%,343,18,4.83%,20,0
Girardin First Offer,Vincent Girardin Mailing List Offer,2012-09-17 10:00,Monday,197,197,0,69.54%,539,15,7.61%,19,0
Louis Michel 2010 750 offer,Louis Michel 2010 Chablis offer,2012-03-26 10:00,Monday,203,203,0,45.81%,193,10,4.93%,18,0
Ciacci Piccolomini Offer 2nd Batch,Ciacci Piccolomini Brunello Offer,2012-06-25 11:00,Monday,40,40,0,60.00%,99,4,10.00%,6,0
Clos de Tart Offer Reminder,Clos de Tart Offer Deadline,2012-01-23 6:00,Monday,132,131,1,51.15%,137,5,3.82%,6,1
Massolino 2008 Offer Reminder,Massolino Barolo Offer Deadline is Today,2012-11-05 10:00,Monday,488,488,0,35.04%,291,3,0.61%,3,2
Domain Wine Storage Tasting Invite to List within 75 miles,"DC Tasting Invitation Friday, November 9",2012-11-05 11:12,Monday,52,52,0,40.38%,78,1,1.92%,2,0
Il Carnasciale Welcome,Il Carnasciale Welcomes You!,2012-10-15 13:15,Monday,120,120,0,69.17%,159,2,1.67%,2,0
Castello dei Rampolla Galloni Score update,,2012-07-16 11:00,Monday,236,236,0,41.10%,177,2,0.85%,2,0
Borgogno Welcome to List,Welcome to the Borgogno Mailing List,2011-12-12 17:58,Monday,34,34,0,52.94%,27,2,5.88%,2,0
Castello del Terriccio First Offer,Castello del Terriccio Patron's List Offer,2012-09-24 13:00,Monday,203,202,1,47.52%,194,1,0.50%,1,0
La Spinetta 04-05 Second offer,La Spinetta Special Offer,2012-03-26 13:00,Monday,18,18,0,44.44%,13,1,5.56%,1,0
La Spinetta Launch Email,La Spinetta joins VinConnect,2012-02-13 20:00,Monday,319,318,1,41.19%,216,1,0.31%,1,1
